column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_hpi
1999:Q3,54.7,68.86,66.02,86.93,103.19,65.51,45.2,64.61,53.25,51.77,50.91,59.92,133.89,73.33,54.73,65.02,68.34,57.08,63.14,64.13,33.11,,73.52518820086875
1999:Q4,56.42,67.96,67.32,86.99,103.44,65.91,46.52,66.04,54.38,53.71,53.24,60.96,132.68,73.73,55.57,68.15,70.98,57.08,63.14,64.8,34.15,,74.15927482234056
2000:Q1,57.54,69.34,67.73,87.1,103.86,66.93,47.11,68.86,55.68,55.63,53.68,61.97,131.44,74.04,56.2,71.22,72.79,57.04,64.97,66.03,36.37,,75.01054688209956
2000:Q2,58.76,70.02,68.47,87.69,104.05,68.23,47.43,68.17,56.9,58.23,56.85,63.27,130.17,74.31,57.33,74.08,76.24,56.44,68.1,67.11,37.96,,75.83983697133822
2000:Q3,58.83,70.71,68.78,88.19,104.18,69.99,48.19,67.69,58.03,58.51,59.92,64.94,128.84,74.26,58.85,76.71,75.69,56.41,70.45,68.32,39.22,,76.50403300557967
2000:Q4,60.14,72.17,68.95,88.49,104.24,70.89,49.47,68.89,58.87,60.95,60.67,66.33,127.53,74.22,60.82,78.99,77.87,56.44,70.71,69.39,40.88,,77.25028025662928
2001:Q1,61.44,72.88,69.76,88.82,104.24,72.28,50.7,70.33,60.09,61.22,62.94,67.53,126.24,74.09,63.53,80.98,78.72,56.78,72.8,71.08,42,,78.14189836607842
2001:Q2,63.7,73.81,70.55,89.36,104.18,72.7,51.58,70.2,61.47,62.98,63.68,68.83,124.9,75.5,65.63,82.8,80.73,56.63,73.84,72.28,43.17,,78.96977717598735
2001:Q3,66.98,74.47,71.14,89.95,104.05,73.75,53.01,69.9,62.51,64.34,61.95,70.01,123.53,78.43,67.35,84.43,82.09,57.18,75.15,73.39,44.83,,79.78034386870468
2001:Q4,69.47,74.6,71.8,90.86,103.86,73.45,55.09,71.29,63.55,63.77,61.49,71.63,122.12,80.65,68.75,85.87,82.58,58.18,74.1,74.31,46.47,,80.36586412460697
2002:Q1,72.71,76.17,74.45,92.09,103.44,74.59,57.72,75.65,64.7,66.5,65.85,73.78,120.67,85.26,69.65,87.23,83.41,59.69,75.41,75.39,47.76,,81.51308046018791
2002:Q2,77.05,77.31,75.94,93.02,103.19,75.47,60.45,76.77,66.32,71.44,67.85,75.56,119.23,88.58,71.05,88.37,84.65,60.94,77.76,76.66,49.49,,82.81405863215865
2002:Q3,80.22,79.27,77.46,94.02,102.93,76.17,62.67,77.95,68.21,75.19,69.59,77,117.79,91.73,72.75,89.25,82,62.77,80.63,78.17,51.94,,84.0770229548718
2002:Q4,83.12,80.29,79.9,95.06,102.68,76.49,65.17,78.56,70.03,79.82,73.52,78.83,116.35,94.17,74.6,89.93,83.44,64.98,80.89,79.29,54.23,,85.26447901710256
2003:Q1,85.54,80.9,81.62,95.73,102.42,76.66,68.45,81.92,71.89,82.06,75.19,80.96,115.03,94.83,76.54,90.64,84.73,68.44,81.41,80.26,56.82,,86.20925864669852
2003:Q2,90,82.32,83.43,96.32,102.17,77.65,72.29,83.07,74.03,83.98,79.96,83.03,113.36,97.72,78.72,91.4,83.55,70.76,83.24,81.24,59.93,,87.2729826793406
2003:Q3,95.28,83.11,86.04,96.9,101.91,78.83,75.58,83.86,76.27,85.09,80.84,85.1,111.31,99.36,81.14,92.21,84.33,76.08,85.06,82.49,62.85,,88.33131622471419
2003:Q4,99.22,85.58,87.02,97.34,101.66,79.16,78.85,88.19,78.93,87.85,84.72,87.32,109.48,100.42,83.86,93.34,86.35,81.09,85.84,84.77,66.92,,89.92103778557276
2004:Q1,99,86.1,89.64,97.94,101.4,81.41,82.38,90.37,82.04,89.51,84.66,89.8,107.7,99.62,87.07,94.47,92.4,84.41,87.67,86.12,72.64,,91.0428034750368
2004:Q2,97.84,86.81,93.33,98.41,101.15,83.81,85.77,92.32,84.97,94.08,90.09,91.89,106.03,99.89,89.96,95.54,91.43,86.52,91.32,88.23,78.58,,92.67958397702695
