column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1999:Q2,75.46,84.69,80.59,93.39,86.34,79.44,74.02,75.72,81.09,81.71,66.35,79.45,102.22,71.64,88.71,83.44,70.63,81.73,78.78,79.21,58.97,,82.29
1999:Q3,76.12,87.58,81.24,94.08,87.1,80.47,75.14,78.12,81.25,79.9,67.87,80.99,101.68,72.49,88.64,84.38,72.41,82.29,80,79.86,59.29,,82.75
1999:Q4,77.25,87.94,82.27,94.78,88.97,81.45,76.36,79.26,82.49,82.08,69.45,80.26,101.51,73.26,89.05,85.44,73.24,82.48,81.32,81.33,60.54,,83.86
2000:Q1,78.84,87.8,83.55,95.6,88.56,81.52,77.7,78.58,83.56,83.44,71.21,79.58,101.29,73.89,88.82,86.27,73.91,80.8,82.52,82.67,63.07,,84.68
2000:Q2,77.55,90.36,84.46,96.29,88.7,82.53,75.72,80.74,84.7,82.81,72.89,82.31,100.75,74.57,88.82,87.94,74.27,80.96,83.24,83.61,64.87,,85.25
2000:Q3,84.06,93.05,85.69,96.95,89.07,82.64,81.14,82.2,85.33,84.77,74.55,83.85,99.55,75.33,88.79,89.72,73.17,81.37,84.65,84.68,65.99,,86.32
2000:Q4,81.87,93.21,87.89,97.58,89.04,83.91,80.32,82.17,88.31,86.01,76.13,85.25,99.57,76.17,88.17,91.67,73.97,82.1,86,85.04,66.62,,86.91
2001:Q1,82.73,93.72,88.55,98.74,91.75,85.15,80.99,82.66,87.89,87.83,77.9,87.09,100.19,77.02,87.6,95,74.98,84.36,88.52,86.09,68.51,,88.08
2001:Q2,85.41,96.52,86.36,99.09,92.3,86.41,80.92,85.6,88.48,88.55,79.5,87.34,99.18,77.96,87.2,96.83,76.18,85.22,89.95,86,69.12,,88.19
2001:Q3,85.35,95.74,87.52,99.17,92.36,86.27,84.91,86.57,90.04,89.84,80.89,87.6,98.32,79,87.49,98.22,78.73,85.56,91.53,87.89,70.54,,89.34
2001:Q4,88.26,95.35,88.67,99.01,92.36,87.38,84.54,85.61,90.87,89.97,82.41,87.36,98.69,80.1,88.43,98.99,80.41,85.55,92.63,86.66,71.79,,89.13
2002:Q1,88.53,95.85,90.31,97.94,92.47,88.57,84.73,86.02,91.49,91.05,83.51,89.53,98.99,81.04,89.74,98.57,81.75,84.12,93.51,88.98,74.65,,90.48
2002:Q2,84.75,97.34,89.55,97.54,92.75,89.96,86.35,87.95,92.22,91.5,85.68,91.69,99.06,82.41,90.66,98.89,84.55,84.13,93.79,89.93,76.67,,91.18
2002:Q3,87.21,94.06,90.35,97.15,93.62,90.19,85.86,90.04,92.61,91.47,86.82,90.94,99.27,83.83,90.78,99.06,85.27,84.71,95.04,89.78,78.42,,91.34
2002:Q4,87.47,95.26,91.26,96.77,94.52,91.53,88.04,90.12,94.56,92.15,86.34,90.79,99.18,85.33,90.14,99.04,86.59,85.44,95.79,90.18,80.48,,91.94
2003:Q1,88.78,95.55,92.08,95.84,95.7,92.08,88.96,90.18,93.39,94.18,87.76,92.61,98.48,87.1,89.46,98.24,87.26,87.28,95.97,90.49,81.41,,92.4
2003:Q2,90.15,96.9,93.22,95.72,95.43,92.96,90.4,91.43,94.03,95.39,90.13,93.4,98.32,88.78,88.97,98.21,89.55,88.45,95.31,91.64,82.55,,93.23
2003:Q3,91.62,96.5,93.2,95.82,95.52,93.39,90.61,94.9,94.71,94.75,89.71,94.47,98.53,90.44,89.3,98.33,90.36,89.75,96.83,93.21,83.57,,94.1
2003:Q4,92.93,96.52,93.44,96.16,96.15,94.1,92.62,96.34,95.55,96.21,88.84,94.42,98.85,92.05,90.48,98.58,92.5,91.09,97.06,93.9,84.54,,94.82
2004:Q1,94.6,96.04,95.06,97.39,97.09,94.89,94.48,96.15,96.39,95.79,91.24,97.02,100.61,94.16,92,99.09,91.28,92.8,97.31,95.02,88.59,,96.05
