column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_rpdi
1985:Q1,77.39597435282838,71.49687553209603,80.34971237823311,77.86231667349446,71.26032469371697,74.64100299116896,65.59932773248909,65.13654146341463,71.32259856630826,53.45107264358616,50.82171618838663,83.82317405738677,74.87131647660664,41.881827115425246,59.94611656589491,74.5659457812976,61.4428207847296,73.44727831431081,74.14355513307986,69.63350785340315,100.62312760030164,,70.17732154605434
1985:Q2,75.83802523954196,71.5090204236006,82.32838213337756,78.0514579097194,71.64852630262516,74.72942070215079,65.7803164271415,65.2593255237486,71.24018965010292,54.459406779661016,50.981474820025454,83.8652811849109,75.55057825484764,42.78508753789035,60.284880210653455,76.3133498145859,61.139024390243904,72.6681330651919,74.64022282130284,70.8466051969824,97.6708496019423,,70.91638634699905
1985:Q3,75.77255402298852,71.893817764804,81.29169547325101,78.77072101056625,72.62825242187532,75.23640755357283,66.07345619712669,65.8046707606973,71.36886624945423,53.99584112149533,51.02681933420508,84.22306136363638,77.381875,43.28153812420291,61.04077738155344,76.49408511292057,61.39219445568596,72.55939516129033,75.26465867158672,70.21489255372313,92.95437086398744,,70.92016456370234
1985:Q4,77.13541261587159,72.69059900166387,81.85101627678716,78.88318569509738,73.11154856356974,76.25997604976888,66.47090292745769,66.43671651188416,71.71169000866301,55.07406943105111,50.9699786644499,84.28722927807486,77.99304014637251,44.19194919423046,61.9023742436275,77.6195635350565,61.84680946674657,74.18739095955591,75.97697639484979,70.74380165289256,93.6875403490455,,71.50062484393793
1986:Q1,76.6913236597253,74.39316305254378,81.22866088631983,79.51479060402686,73.99455421455252,78.95391833143756,67.14997437993235,66.28833450046686,72.30651107594937,55.144822654462246,50.47113860546614,84.1820415110916,77.364013950539,46.097295254023216,63.59697982852809,76.94182150472129,63.511803740197074,75.39080996884735,77.10210442364951,71.23400065638333,90.94381855052418,,71.80060366476377
1986:Q2,76.19154928041867,75.17361875,81.8326781719399,80.06755417335472,75.50007073281931,79.90079763455914,67.63114439381374,66.53467871948412,72.6768520371694,57.05132701421801,50.505965908766534,84.8166058631922,77.73503677637845,47.96598051762323,64.68992439388425,77.94320798158095,62.469405085403736,76.21305660377358,77.71489004629629,71.84322728763529,90.75176747074437,,72.51875177526352
1986:Q3,74.91604263894781,75.55849593158419,81.17053303303302,80.850463989845,76.0690824105174,80.26542430861835,68.13263885198079,67.37752173913044,73.0519422721456,56.79225776105363,50.729618271204984,85.53504404813064,77.88574692536046,49.16909946821204,65.10964552338503,78.9131444496052,61.44762105855856,76.12117714945182,78.14463245997088,72.00065114764773,90.88152598247906,,72.73332692373465
1986:Q4,74.92191054379411,75.57622524752473,81.14266716138101,81.68509076348106,76.70419186225473,80.1030912552938,68.6779486287443,68.39872381602916,72.99635,57.22207624743039,51.151236037108106,86.16522625876355,77.7030675546593,51.21215125136652,65.31772388927591,78.34687931298882,61.38244426018058,75.732309540151,78.38618299445473,71.83257918552036,92.69547768613717,,72.86895549909316
1987:Q1,73.4379011841568,74.50753721576966,82.0709080024718,82.43235117858569,77.60163239941748,78.3368281595466,69.17012085276039,69.69856176735797,72.6385363979321,56.15741645244216,52.02731832986743,86.68472706277556,77.74079697452228,51.92520562380047,65.28295288528807,77.69477054429028,61.55962202435036,78.3712176752866,78.085007093636,72.05741626794259,98.13558509580156,,73.08219740377237
1987:Q2,74.22771531820919,74.46069367685305,81.78590735068911,83.35563855261407,78.07075766955364,77.93590634676175,69.7882426363275,70.73526510619205,72.71102649465945,57.49502192982457,52.5069385119566,87.26760986733001,78.19950664837482,53.65029068924671,65.3536296374946,77.98319327731092,61.665653536257835,79.8881656417637,78.1911515,71.0401517546633,97.42201901733237,,72.99105654989265
1987:Q3,75.04199150868878,74.69999999999999,82.78176790329937,84.2070242834395,78.44041630043485,77.84513496640315,70.43029205370625,71.61911884941281,73.12840846429556,57.95007994186047,52.83355134078304,87.6511977147521,78.97763041416377,54.62839350942062,65.39019081194698,78.5111281657713,61.35806734479131,81.18288288288288,78.26599279936872,72.1013925833203,89.69910515571836,,73.65930902422113
1987:Q4,73.34392572428544,75.23577056731855,83.11026577322691,84.98333663758922,79.01768193722309,78.03720105005637,71.11665240578314,71.9045048415493,73.7072305266045,58.29319596904805,53.06122075220816,88.15877512057878,79.49808691756273,56.03302530061624,65.90218621090126,78.6470317533364,61.252322875366325,82.56200662083013,78.32821095117683,72.95997517840522,92.11172205489603,,74.30282062756575
1988:Q1,74.40710702022129,75.93674162756834,82.81715459297982,85.86269332103808,80.09324174229043,78.94749935668311,71.99536310133685,70.78144554883319,74.358752897859,59.526619368570415,52.81189997314161,88.90428472222223,81.22763975319059,57.10906923020319,66.30424346890622,76.90102595051297,61.233155125594024,81.7476015449788,78.25942831129002,73.71173665589909,93.07054504588758,,75.13471361932116
1988:Q2,74.50611965491373,76.64813679625746,84.82834171225788,86.39177558489085,80.45951736418584,79.25115558961096,72.69210492500328,71.85617166212535,74.8947116165719,60.720294117647065,53.05802851956072,89.63921397807361,82.02061194895593,58.65115458453516,67.15772064543516,77.47584541062803,61.17367212293302,83.15834676919262,78.40388123111782,74.20876445526476,93.7311123292948,,75.81042322438034
