column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1998:Q3,85.97,98.56,88.21,95.22,93.01,90.08,87.68,80.33,89.4,85.85,77.08,92.72,95.56,86.91,104.57,97.59,77.35,85.62,84.75,90,87.25,,90.41
1998:Q4,84.01,99.67,89.18,95.89,93.82,90.11,88.59,80.17,90.42,85.39,77.57,92.91,97.09,86.84,103.89,98.31,77.7,87.14,85.25,90.39,86.45,,90.93
1999:Q1,85.48,99.87,89.04,96.42,93.98,88.04,90.14,81.42,90.44,84.63,81.39,93.67,96.33,87.78,103.36,98.23,79.49,90.46,85.07,90.67,87.44,,91.13
1999:Q2,87.68,96.48,90.22,96.92,93.6,89.18,90.89,83.18,90.82,88.92,83.05,93.87,96.6,88.14,102.04,98.64,79.69,91.31,85.51,90.62,88.3,,91.56
1999:Q3,87.98,99.67,90.45,97.46,94.51,89.13,91.59,86.28,90.93,86.79,83.41,94.95,96.4,88.18,101.93,98.91,80.97,91.92,86.75,90.89,87.17,,91.76
1999:Q4,88.86,99.26,91.1,98.24,96.53,89.23,92.31,86.17,91.88,88.53,84.41,93.13,96.2,88.36,101.24,99.89,80.77,91.91,87.49,92.07,87.77,,92.56
2000:Q1,90.03,97.83,92.09,98.77,95.69,89.11,92.84,83.16,92.16,90.06,86.11,91.64,96.34,87.02,99.77,98.93,80.68,89.27,88.83,92.75,88.98,,92.83
2000:Q2,87.84,99.52,92.61,99.3,95.97,89.83,89.82,85.27,92.96,89.62,86.69,94.01,95.9,88.9,98.71,100.22,81.46,89.03,89.9,93.38,89.16,,93.2
2000:Q3,92.86,101.65,93.31,99.38,95.82,89.26,95.13,86.96,92.89,91.67,87.04,94.91,94.9,87.86,97.88,101.62,79.82,88.51,91.23,94.03,89.29,,93.85
2000:Q4,90.16,101.49,95.07,99.92,95.29,89.95,92.97,85.44,95.34,92.65,87.64,95.88,94.81,87.62,95.84,102.73,80.09,88.27,91.79,93.91,89.33,,93.95
