column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,netherlands,norway,new_zealand,sweden,us,column_u,oecd_19
1984:Q1,41.9713043440214,44.2066913713594,67.3428270790488,102.441849958537,121.761538461718,52.7420575667325,28.8128049467883,62.3433457199614,47.7677260027402,34.487515698672,28.7307443584679,64.9955172059929,115.339602881574,163.941424546377,36.7353464398983,52.1590433892555,46.6371983676204,58.2955521680881,60.029167787111,,71.7844265806218
1984:Q2,42.4447527487593,43.9898095031936,66.9841871990869,104.490802251335,120.263480062353,52.8742031553553,28.7884585098908,63.1341613315861,47.3920693667793,34.5871495749939,27.6155903767065,64.5869784862895,115.535105268883,163.825260239394,36.2237039065654,54.8449071958328,46.9855621069771,57.908879510184,60.0804941787864,,71.6817077832918
1984:Q3,44.2947246294401,43.2558121651023,65.7249210363346,104.196031557419,119.277196892146,53.3389292168937,28.8422007608373,63.6970453586632,46.9850725457015,35.1692882781119,26.8264295593162,64.1847311131033,115.826905563136,163.452438154631,36.4416533153816,57.4531885633855,46.9425275671225,57.4249180155326,60.2812305236556,,71.7026235848367
1984:Q4,43.2711060285973,42.64133503224,63.5691576493698,103.782004724175,118.125692822896,55.2522596145959,28.9987012804188,62.7343785898309,46.6083457835846,35.4858177275822,26.3222553151947,63.597894139445,116.080851843416,160.967067079792,36.5123426882609,60.2536702482319,46.7531756316425,57.0349278407592,60.678461649665,,71.5937134200411
1985:Q1,44.8438410781386,41.8355455232925,62.7506195721879,105.808559325544,115.706887530546,56.1279220470943,29.1474198748944,62.8127478063944,46.1993877401342,35.5273376067817,26.5075894034516,62.4021464236627,116.194376213809,161.100430169559,35.1607410449937,61.1265372735149,45.7363861465111,56.2596385445131,60.6443713170869,,71.309195583939
1985:Q2,44.0268448569744,41.50512996049,62.5927003236063,104.818887611293,114.826994693596,58.3482488250298,29.4058103817172,63.8730661815267,45.8711594771546,35.9529441347691,26.408381248703,61.8038494119286,116.715390372017,159.751399403065,35.8966293335293,61.6442408722676,45.3034262084776,55.9694180910267,60.9814136256735,,71.3715800622619
1985:Q3,44.4268463553432,41.9768308561752,62.5213502183962,106.210416042543,114.991071840367,62.6629816094558,29.8455983230408,63.8075424543049,45.845129365446,35.7992264585783,26.4056903601047,61.6207203306382,116.953701009884,156.38799342063,35.3166908659997,64.4648392338308,45.3282787740074,55.7695525362772,61.6390925353599,,71.6153793300061
1985:Q4,44.629215817903,42.2210955236217,64.2456995992367,107.048952312218,114.599860255136,64.3113916836254,30.3763333304823,64.2630227344199,45.9452052554917,36.8113643046057,26.1381069890039,61.1251853584513,117.272436090156,153.630002081084,36.289083787463,69.1140381844658,46.0494253490499,56.0323142134692,62.0618328152552,,71.905859225664
1986:Q1,44.22452860725,42.4663404062479,64.1078115029061,110.254517546033,115.569051751559,67.366028689244,30.7682723490427,65.3586554977633,46.2669285102161,37.7112706130459,25.8798783035098,60.9951898123312,117.680898620262,150.606888097668,36.3979823703225,75.6614673359911,46.0183421589033,55.5312804900997,62.6178494278465,,72.3234894315894
1986:Q2,45.1627067633749,42.9287624823722,64.4976870986376,108.969786490969,116.756174169883,67.7213029603764,31.4184929790583,64.3978058593762,46.5447965023162,38.8712487786327,26.5211990126638,61.3868507316609,118.411216757338,149.231831994189,36.7947325235141,78.4757733332298,45.2534455307871,55.9939470772266,63.7641607748715,,73.1272121293556
1986:Q3,44.5122187218439,43.9545406577692,64.8912311508201,111.159359010931,116.406610791812,65.7762796377866,32.4333651132979,65.119794760149,46.9419401983627,39.7132411090938,25.8923686689818,62.066173114709,119.227395852798,146.646408538522,37.9636702131889,79.804527731984,44.2311049570397,56.6819061126982,64.2824490309498,,73.5265001056652
1986:Q4,43.7128894677543,44.4621905973272,65.8681073603959,113.17172225376,116.286874599481,66.2661720651792,33.5425732677154,66.0069545673294,47.2587061982524,40.6791183705091,25.4155810910593,62.2367209288787,120.558662433431,146.566139250005,37.9665749876404,80.1143861884087,43.0207603989201,57.8298042793702,65.0316915567612,,74.1733491743358
1987:Q1,43.4797966820809,44.8484211582119,66.7956942016499,113.475670280118,115.319643903864,60.5166187231908,34.6715833783598,66.8998951550943,47.5903301740388,41.7875499038399,25.1230975921484,60.0495671116144,122.467157282422,142.928805695009,38.4113689573944,76.1765995416092,44.0029734641157,59.0657474186962,65.3190907110033,,74.338638045856
1987:Q2,43.3007306650486,44.6712296659027,68.5110658987306,117.344780116424,114.939436867406,59.8510008173093,36.2966335610764,66.135566912049,48.1634015408842,43.1468859466063,24.387336318088,60.7589722964857,124.390819340756,141.450723512491,38.7391900726523,81.6912709543906,45.4283210534287,59.7944536080784,65.6462627114514,,74.986410764836
1987:Q3,43.5473607315266,45.0285087054061,70.0382049128459,119.054503004783,114.508969539907,58.9117548120982,37.9680374837934,68.7451706092237,48.9377968051869,44.2769144647515,25.1640831368661,61.9682536323784,129.188411349598,141.748897802145,39.0195806905102,78.9075337844471,46.8769538419625,60.6421688158582,65.667897529368,,75.9105577727276
